Water_Control_Zone,Station,Site,Site_ID,Dates,Sample_No,Depth,Season,Binning,Volatile_Suspended_Solids,Turbidity,Total_Nitrogen,Total_Kjeldahl_Nitrogen,Total_Inorganic_Nitrogen,Salinity,Phaeo-pigments,Orthophosphate_Phosphorus,Faecal_Coliforms,Dissolved_Oxygen_mgL,Ammonia_Nitrogen,5-day_Biochemical_Oxygen_Demand
Mirs Bay,MM5,Tung Ping Chau,TPC,27/9/2018,1,Surface Water,summer,low,0.5,0.3,0.17,0.17,0,30.4,0.5,0.005,0,5.4,0,0.6
Mirs Bay,MM5,Tung Ping Chau,TPC,24/10/2018,1,Surface Water,autumn,low,0,0.4,0.25,0.25,0.02,32.2,0.6,0.006,0,6.2,0.016,0.7
Mirs Bay,MM5,Tung Ping Chau,TPC,22/5/2019,1,Surface Water,summer,low,0,0.2,0.31,0.3,0.02,32.5,1.2,0.005,0,6.1,0.017,0.5
Mirs Bay,MM5,Tung Ping Chau,TPC,27/6/2019,1,Surface Water,summer,low,0.9,0.4,0.2,0.2,0.01,31.1,0,0,0,5.4,0.006,1.3
Mirs Bay,MM5,Tung Ping Chau,TPC,18/7/2019,1,Surface Water,summer,low,2.2,2.3,0.14,0.14,0.02,32,0.3,0,2,5.6,0.019,0.5
Mirs Bay,MM5,Tung Ping Chau,TPC,14/8/2019,1,Surface Water,summer,low,1,0.8,0.22,0.21,0.03,31.3,0,0,0,5.9,0.022,0.7
Mirs Bay,MM5,Tung Ping Chau,TPC,22/1/2018,1,Surface Water,winter,low,0.9,3.1,0.08,0,0.04,32.4,2.4,0.003,0,9,0.012,0.8
Mirs Bay,MM5,Tung Ping Chau,TPC,8/2/2018,1,Surface Water,winter,low,1,2.8,0.71,0.64,0.08,32.6,1.1,0.008,0,7.4,0.019,0.7
Mirs Bay,MM5,Tung Ping Chau,TPC,7/3/2018,1,Surface Water,winter,low,1.1,2.3,0.96,0.96,0.03,32.4,1.9,0,1,9.4,0.027,1.2
Mirs Bay,MM5,Tung Ping Chau,TPC,9/4/2018,1,Surface Water,spring,low,1,1.9,0.34,0.34,0.02,32.8,0.7,0.007,0,6.4,0.019,0.6
Mirs Bay,MM5,Tung Ping Chau,TPC,16/11/2018,1,Surface Water,winter,low,1.3,0.7,0.12,0.11,0.02,32.8,1,0.009,0,5.4,0.016,0
Mirs Bay,MM5,Tung Ping Chau,TPC,13/12/2018,1,Surface Water,winter,low,2.9,4.1,0.13,0.12,0.02,33.4,1.5,0.008,0,6.1,0.006,0.6
Mirs Bay,MM5,Tung Ping Chau,TPC,21/1/2019,1,Surface Water,winter,low,0.6,1,0.26,0.13,0.16,32.1,1,0.015,0,6.8,0.031,0.4
Mirs Bay,MM5,Tung Ping Chau,TPC,18/2/2019,1,Surface Water,winter,low,1.9,0.5,0.26,0.26,0.04,32.1,1.3,0,0,6.7,0.032,0.8
Mirs Bay,MM5,Tung Ping Chau,TPC,13/3/2019,1,Surface Water,winter,low,0.6,0.6,0.37,0.37,0.03,31.9,1.4,0,0,7.8,0.024,0.6
Mirs Bay,MM5,Tung Ping Chau,TPC,12/4/2019,1,Surface Water,spring,low,2.2,0.3,0.08,0.08,0.02,33.2,0,0.01,3,6.8,0.013,0
