"","Kingdom","Phylum","Class","Order","Family","Genus","Species","SourceID","Seq","indtype"
"2003","Metazoa","Cnidaria",NA,NA,NA,NA,NA,"80_Match","sq11373",NA
"2006","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11385",NA
"2007","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11388",NA
"2010","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq11283",NA
"2013","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11308",NA
"2014","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11467",NA
"2015","Metazoa","Porifera",NA,NA,NA,NA,NA,"80_Match","sq11487",NA
"2017","Metazoa","Cnidaria",NA,NA,NA,NA,NA,"80_Match","sq11491",NA
"2018","Metazoa","Mollusca",NA,NA,NA,NA,NA,"80_Match","sq11493",NA
"2019","Metazoa","Mollusca",NA,NA,NA,NA,NA,"80_Match","sq11330",NA
"2020","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11500",NA
"2021","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11501",NA
"2022","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq11503",NA
"2023","Metazoa","Cnidaria",NA,NA,NA,NA,NA,"80_Match","sq11504",NA
"2024","Metazoa","Cnidaria",NA,NA,NA,NA,NA,"80_Match","sq11509",NA
"2025","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11543",NA
"2026","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq11554",NA
"2027","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq11560",NA
"2028","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11558",NA
"2029","Metazoa","Mollusca",NA,NA,NA,NA,NA,"80_Match","sq11589",NA
"2030","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11604",NA
"2031","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11612",NA
"2033","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11633",NA
"2034","Metazoa","Nemertea",NA,NA,NA,NA,NA,"80_Match","sq11634",NA
"2035","Metazoa","Chordata",NA,NA,NA,NA,NA,"80_Match","sq11635",NA
"2036","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11640",NA
"2037","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11642",NA
