"","Kingdom","Phylum","Class","Order","Family","Genus","Species","SourceID","Seq","indtype"
"1","Metazoa","Annelida",NA,"Eunicida","Eunicidae",NA,"Eunicidae_HK04","95_Match","sq8",NA
"2","Metazoa","Annelida","Polychaeta","Phyllodocida","Hesionidae","Leocrates","Leocrates_chinensis_HK01","95_Match","sq23",NA
"3","Metazoa","Arthropoda","Malacostraca","Decapoda","Hippolytidae","Thor","Thor_paschalis_HK01","95_Match","sq16",NA
"4","Metazoa","Annelida","Polychaeta","Phyllodocida","Nereididae","Platynereis","Nereididae_HK01","95_Match","sq4",NA
"5","Metazoa","Porifera","Demospongiae","Suberitida","Suberitidae",NA,NA,"95_Match","sq6",NA
"6","Metazoa","Bryozoa","Gymnolaemata","Cheilostomatida","Schizoporellidae","Schizoporella","Schizoporella_pungens","95_Match","sq7",NA
"8","Metazoa","Echinodermata","Ophiuroidea","Ophiurida","Ophiactidae","Ophiactis",NA,"95_Match","sq28",NA
"9","Metazoa","Porifera","Demospongiae","Suberitida","Suberitidae",NA,NA,"95_Match","sq34",NA
"10","Metazoa","Annelida",NA,"Terebellida","Terebellidae",NA,"Terebellidae_HK05","95_Match","sq36",NA
"11","Metazoa","Chordata","Actinopterygii","Perciformes","Gobiidae","Eviota","Eviota_HK01","95_Match","sq12",NA
"12","Metazoa","Platyhelminthes","Turbellaria","Polycladida",NA,NA,"Polycladida_HK06","95_Match","sq53",NA
"13","Metazoa","Mollusca","Bivalvia","Ostreoida","Ostreidae","Ostrea",NA,"95_Match","sq55",NA
"14","Metazoa","Arthropoda","Hexanauplia","Sessilia","Tetraclitidae","Tetraclitella","Tetraclitella_pilsbryi","95_Match","sq57",NA
"15","Metazoa","Arthropoda","Malacostraca","Decapoda","Alpheidae","Athanas","Athanas_parvus","95_Match","sq9",NA
"16","Metazoa","Arthropoda","Malacostraca","Amphipoda",NA,NA,NA,"95_Match","sq69",NA
"17","Metazoa","Annelida",NA,"Eunicida","Eunicidae","Lysidice","Lysidice_HK01","95_Match","sq42",NA
"18","Metazoa","Mollusca","Gastropoda",NA,"Trochidae","Clanculus","Clanculus_margaritarius","95_Match","sq43",NA
"19","Metazoa","Annelida","Polychaeta","Phyllodocida","Hesionidae","Platynereis","Nereididae_HK04","95_Match","sq50",NA
"20","Metazoa","Cnidaria","Hydrozoa","Anthoathecata","Pandeidae","Amphinema","Amphinema_sp._PS-2017","95_Match","sq58",NA
"21","Metazoa","Annelida",NA,"Eunicida","Dorvilleidae","Dorvillea","Dorvilleidae_HK01","95_Match","sq86",NA
"22","Metazoa","Arthropoda","Malacostraca","Amphipoda","Podoceridae","Podocerus","Podocerus_brasiliensis","95_Match","sq60",NA
"23","Metazoa","Arthropoda","Malacostraca","Decapoda","Rhynchocinetidae","Rhynchocinetes","Rhynchocinetes_brucei","95_Match","sq64",NA
"24","Metazoa","Annelida","Polychaeta","Phyllodocida","Hesionidae","Syllidia","Syllidia_hongkongensis","95_Match","sq103",NA
"25","Metazoa","Porifera","Demospongiae","Haplosclerida","Niphatidae","Gelliodes","Gelliodes_wilsoni","95_Match","sq105",NA
"26","Metazoa","Mollusca","Gastropoda","Littorinimorpha","Crepidulidae","Crepidula","Crepidula_onyx","95_Match","sq110",NA
"27","Metazoa","Annelida",NA,"Spionida","Spionidae",NA,"Spionidae_HK01","95_Match","sq75",NA
"28","Metazoa","Annelida",NA,"Terebellida","Cirratulidae",NA,"Cirratulidae_HK02","95_Match","sq84",NA
"29","Metazoa","Annelida","Polychaeta","Golfingiida",NA,NA,NA,"95_Match","sq116",NA
"30","Metazoa","Arthropoda","Malacostraca","Amphipoda",NA,NA,NA,"95_Match","sq117",NA
"31","Metazoa","Echinodermata","Ophiuroidea","Ophiurida","Ophiactidae","Ophiactis",NA,"95_Match","sq127",NA
"32","Metazoa","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Clytia",NA,"95_Match","sq134",NA
"33","Metazoa","Mollusca","Gastropoda",NA,"Fissurellidae","Diodora","Diodora_HK01","95_Match","sq88",NA
"34","Metazoa","Annelida","Polychaeta",NA,NA,NA,NA,"95_Match","sq138",NA
"35","Metazoa","Annelida",NA,"Sabellida","Sabellariidae",NA,"Sabellariidae_HK01","95_Match","sq145",NA
"36","Metazoa","Annelida",NA,"Eunicida","Eunicidae",NA,"Eunicidae_HK01","95_Match","sq109",NA
"37","Metazoa","Chordata","Actinopteri","Gobiiformes","Gobiidae","Tridentiger","Tridentiger_nudicervicus","95_Match","sq113",NA
"38","Metazoa","Annelida","Polychaeta","Phyllodocida","Syllidae",NA,NA,"95_Match","sq163",NA
"39","Metazoa","Sipuncula","Phascolosomatidea","Phascolosomatida","Phascolosomatidae","Phascolosoma","Phascolosoma_HK01","95_Match","sq165",NA
"40","Metazoa","Mollusca","Gastropoda","Littorinimorpha","Caecidae","Caecum","Caecum_glabellum","95_Match","sq148",NA
"41","Metazoa","Echinodermata","Ophiuroidea","Ophiurida","Ophiactidae","Ophiactis","Ophiactis_savignyi","95_Match","sq182",NA
"42","Metazoa","Annelida","Polychaeta","Eunicida","Dorvilleidae","Parougia","Parougia_albomaculata","95_Match","sq147",NA
"43","Metazoa","Mollusca","Gastropoda",NA,"Trochidae","Calliostoma","Calliostoma_katoi","95_Match","sq189",NA
"44","Metazoa","Mollusca","Bivalvia","Ostreida","Pteriidae","Pinctada","Pinctada_albina","95_Match","sq202",NA
"45","Metazoa","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","Balanus_trigonus","95_Match","sq203",NA
"46","Metazoa","Porifera","Demospongiae","Haplosclerida","Chalinidae","Haliclona",NA,"95_Match","sq207",NA
"47","Metazoa","Porifera",NA,NA,NA,NA,"Porifera_HK01","95_Match","sq208",NA
"48","Metazoa","Porifera","Demospongiae","Haplosclerida","Callyspongiidae","Callyspongia",NA,"95_Match","sq213",NA
"49","Metazoa","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Clytia","Clytia_sp._GL_JRH-2014","95_Match","sq214",NA
"50","Metazoa","Porifera","Demospongiae","Dendroceratida",NA,NA,NA,"95_Match","sq218",NA
"51","Metazoa","Annelida","Polychaeta","Phyllodocida","Nereididae","Perinereis","Perinereis_euiini","95_Match","sq235",NA
"52","Metazoa","Annelida","Polychaeta","Spionida","Cirratulidae","Dodecaceria","Dodecaceria_sp._AMW23009","95_Match","sq220",NA
"53","Metazoa","Arthropoda","Malacostraca","Decapoda","Porcellanidae","Pisidia","Pisidia_gordoni","95_Match","sq248",NA
"54","Metazoa","Arthropoda","Malacostraca","Amphipoda",NA,NA,"Amphipoda_unspecified","95_Match","sq251",NA
"55","Metazoa","Porifera","Demospongiae","Suberitida","Suberitidae","Protosuberites","Protosuberites_denhartogi","95_Match","sq253",NA
"56","Metazoa","Mollusca","Bivalvia","Ostreoida","Ostreidae","Dendostrea","Dendostrea_crenulifera","95_Match","sq219",NA
"57","Metazoa","Arthropoda","Hexanauplia","Sessilia","Balanidae","Amphibalanus","Amphibalanus_reticulatus","95_Match","sq256",NA
"58","Metazoa","Bryozoa","Gymnolaemata","Cheilostomatida","Lepraliellidae","Celleporaria","Celleporaria_inaudita","95_Match","sq258",NA
"59","Metazoa","Porifera","Demospongiae","Haplosclerida","Chalinidae","Haliclona",NA,"95_Match","sq274",NA
"60","Metazoa","Porifera","Demospongiae","Suberitida","Suberitidae",NA,NA,"95_Match","sq276",NA
"61","Metazoa","Cnidaria","Hydrozoa","Anthoathecata","Bougainvilliidae","Bougainvillia","Bougainvillia_sp._PM_JRH-2014","95_Match","sq282",NA
"62","Metazoa","Annelida","Polychaeta","Phyllodocida","Syllidae","Trypanosyllis","Trypanosyllis_luzonensis_HK01","95_Match","sq295",NA
"63","Metazoa","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,"95_Match","sq304",NA
"64","Metazoa","Arthropoda","Malacostraca","Amphipoda",NA,NA,NA,"95_Match","sq310",NA
"65","Metazoa","Annelida","Polychaeta","Eunicida","Eunicidae","Marphysa","Marphysa_sanguinea","95_Match","sq323",NA
"66","Metazoa","Arthropoda","Malacostraca","Decapoda","Porcellanidae","Pachycheles","Pachycheles_sculptus","95_Match","sq349",NA
"67","Metazoa","Annelida",NA,"Terebellida","Cirratulidae",NA,"Cirratulidae_HK02","95_Match","sq296",NA
"68","Metazoa","Arthropoda","Malacostraca","Decapoda","Hippolytidae","Thor","Thor_paschalis_HK01","95_Match","sq357",NA
"69","Metazoa","Annelida",NA,NA,NA,NA,NA,"95_Match","sq391",NA
"70","Metazoa","Annelida","Polychaeta","Phyllodocida","Syllidae","Myrianida","Myrianida_pachycera","95_Match","sq337",NA
"71","Metazoa","Mollusca","Gastropoda","Littorinimorpha","Vermetidae",NA,"Vermetidae_HK01","95_Match","sq345","low"
"72","Metazoa","Annelida","Polychaeta","Eunicida","Dorvilleidae","Ophryotrocha","Ophryotrocha_permanni","95_Match","sq344","high"
"73","Metazoa","Arthropoda","Insecta","Hemiptera",NA,NA,NA,"95_Match","sq405",NA
"74","Metazoa","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidia","Herdmania_pallida","95_Match","sq406",NA
"75","Metazoa","Bryozoa","Gymnolaemata","Cheilostomatida","Bugulidae","Bugula","Bugula_neritina","95_Match","sq407",NA
"76","Metazoa","Arthropoda","Malacostraca","Amphipoda",NA,NA,NA,"95_Match","sq412",NA
"77","Metazoa","Arthropoda","Malacostraca","Amphipoda",NA,NA,NA,"95_Match","sq425","low"
"78","Metazoa","Mollusca","Gastropoda",NA,"Trochidae","Clanculus","Clanculus_HK02","95_Match","sq432",NA
"79","Metazoa","Arthropoda","Malacostraca","Decapoda",NA,NA,"Caridea_sp._LPdivOTU354","95_Match","sq373",NA
"80","Metazoa","Echinodermata","Ophiuroidea","Ophiurida","Amphiuridae","Amphipholis","Amphipholis_squamata","95_Match","sq443",NA
"81","Metazoa","Arthropoda","Malacostraca","Amphipoda",NA,NA,NA,"95_Match","sq456",NA
"82","Metazoa","Porifera","Demospongiae","Suberitida","Suberitidae","Protosuberites",NA,"95_Match","sq461",NA
"83","Metazoa","Chordata","Actinopteri","Gobiiformes","Gobiidae","Tridentiger","Tridentiger_trigonocephalus","95_Match","sq475","high"
"84","Metazoa","Echinodermata","Ophiuroidea",NA,NA,NA,"Ophiuroidea_HK01","95_Match","sq421",NA
"85","Metazoa","Porifera","Demospongiae","Dendroceratida","Darwinellidae","Dendrilla",NA,"95_Match","sq483",NA
"86","Metazoa","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Eucheilota","Eucheilota_sp._JRH-2014","95_Match","sq417","high"
"87","Metazoa","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Diagramma","Diagramma_picta","95_Match","sq493",NA
"88","Metazoa","Porifera","Demospongiae","Poecilosclerida","Coelosphaeridae","Lissodendoryx",NA,"95_Match","sq494",NA
"89","Metazoa","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Styela","Styela_canopus_HK02","95_Match","sq496",NA
"90","Metazoa","Mollusca","Gastropoda","Littorinimorpha","Caecidae","Caecum","Caecum_glabellum","95_Match","sq476",NA
"91","Metazoa","Porifera","Demospongiae","Clionaida","Clionaidae","Pione","Pione_vastifica","95_Match","sq508",NA
"92","Metazoa","Arthropoda","Malacostraca","Decapoda",NA,NA,"Caridea_sp._LPdivOTU175","95_Match","sq509",NA
"93","Metazoa","Mollusca","Bivalvia","Mytiloida","Mytilidae","Perna","Perna_viridis","95_Match","sq517",NA
"94","Metazoa","Annelida","Polychaeta","Phyllodocida","Syllidae",NA,"Syllidae_HK05","95_Match","sq486",NA
"95","Metazoa","Porifera","Demospongiae","Poecilosclerida",NA,NA,NA,"95_Match","sq550","high"
"96","Metazoa","Porifera","Demospongiae","Suberitida","Halichondriidae",NA,NA,"95_Match","sq582",NA
"97","Metazoa","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Styela","Styela_plicata","95_Match","sq583",NA
"98","Metazoa","Arthropoda","Malacostraca","Decapoda","Alpheidae","Alpheus","Alpheus_pareuchirus","95_Match","sq594",NA
"99","Metazoa","Platyhelminthes","Turbellaria","Polycladida",NA,NA,"Polycladida_HK07","95_Match","sq552",NA
"100","Metazoa","Mollusca","Bivalvia","Ostreida","Ostreidae","Dendostrea","Dendostrea_sandwichensis","95_Match","sq608",NA
"101","Metazoa","Arthropoda","Malacostraca","Decapoda","Alpheidae","Alpheus","Alpheus_bisincisus","95_Match","sq545",NA
"102","Metazoa","Annelida",NA,"Scolecida","Orbiniidae",NA,"Orbiniidae_HK01","95_Match","sq546",NA
"103","Metazoa","Annelida",NA,NA,NA,NA,NA,"95_Match","sq628",NA
"105","Metazoa","Porifera","Demospongiae","Suberitida","Suberitidae",NA,"Suberitidae_HK01","95_Match","sq641",NA
"106","Metazoa","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Periclimenes","Periclimenes_HK01","95_Match","sq570",NA
"107","Metazoa","Echinodermata","Ophiuroidea",NA,NA,NA,NA,"95_Match","sq665",NA
"108","Metazoa","Porifera","Demospongiae","Clionaida","Clionaidae","Pione",NA,"95_Match","sq674",NA
"109","Metazoa","Mollusca","Bivalvia",NA,"Galeommatidae",NA,"Galeommatidae_HK01","95_Match","sq676",NA
"110","Metazoa","Annelida",NA,"Eunicida","Eunicidae",NA,"Eunicidae_HK02","95_Match","sq637",NA
"111","Metazoa","Mollusca","Bivalvia",NA,NA,NA,NA,"95_Match","sq682","high"
"112","Metazoa","Annelida","Polychaeta","Eunicida","DorvilleidaeDorvilleidae_sp._BMOO-13194",NA,NA,"95_Match","sq649","low"
"113","Metazoa","Platyhelminthes","Turbellaria","Polycladida",NA,NA,"Polycladida_HK04","95_Match","sq705",NA
"114","Metazoa","Mollusca","Gastropoda",NA,"Fissurellidae","Diodora","Diodora_HK03","95_Match","sq662",NA
"115","Metazoa","Porifera","Demospongiae","Dendroceratida",NA,NA,NA,"95_Match","sq711",NA
"116","Metazoa","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Phyllodoce","Phyllodoce_HK03","95_Match","sq658",NA
"117","Metazoa","Porifera","Demospongiae","Clionaida","Clionaidae",NA,NA,"95_Match","sq714",NA
"118","Metazoa","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Clytia","Clytia_folleata","95_Match","sq715",NA
"119","Metazoa","Mollusca","Bivalvia","Arcida","Arcidae","Barbatia","Barbatia_trapezina","95_Match","sq721",NA
"120","Metazoa","Porifera","Demospongiae","Poecilosclerida",NA,NA,NA,"95_Match","sq768",NA
"121","Metazoa","Annelida",NA,"Terebellida","Terebellidae",NA,"Terebellidae_HK06","95_Match","sq790",NA
"122","Metazoa","Platyhelminthes","Turbellaria","Polycladida",NA,NA,"Polycladida_HK08","95_Match","sq744",NA
"123","Metazoa","Porifera","Demospongiae","Clionaida","Clionaidae","Clionaopsis","Clionaopsis_platei","95_Match","sq798",NA
"124","Metazoa","Annelida","Polychaeta","Phyllodocida","Syllidae",NA,"Syllidae_HK03","95_Match","sq793",NA
"125","Metazoa","Porifera","Demospongiae","Dictyoceratida","Thorectidae","Fasciospongia","Fasciospongia_cavernosa","95_Match","sq754","low"
"126","Metazoa","Cnidaria","Anthozoa","Actiniaria","Diadunenidae","Diadumene",NA,"95_Match","sq816",NA
"127","Metazoa","Echinodermata","Ophiuroidea",NA,NA,NA,"Ophiuroidea_HK02","95_Match","sq781",NA
"129","Metazoa","Mollusca","Bivalvia","Venerida","Veneridae","Irus","Irus_macrophyllus_HK01","95_Match","sq838",NA
"130","Metazoa","Mollusca","Gastropoda","Littorinimorpha","Zebinidae","Stosicia","Stosicia_annulata","95_Match","sq840",NA
"131","Metazoa","Mollusca","Gastropoda","Nudibranchia","Chromodorididae","Hypselodoris","Hypselodoris_festiva","95_Match","sq841",NA
"132","Metazoa","Echinodermata","Ophiuroidea",NA,NA,NA,"Ophiuroidea_HK01","95_Match","sq802","low"
"133","Metazoa","Annelida",NA,"Terebellida","Terebellidae",NA,"Terebellidae_HK02","95_Match","sq875",NA
"134","Metazoa","Chordata","Actinopteri","Perciformes","Synanceiidae","Synanceia","Synanceia_sp._SYN-DY1","95_Match","sq808",NA
"135","Metazoa","Porifera","Demospongiae","Poecilosclerida","Coelosphaeridae","Lissodendoryx",NA,"95_Match","sq945","low"
"136","Metazoa","Mollusca","Gastropoda","Nudibranchia","Aeolidiidae","Anteaeolidiella","Anteaeolidiella_cacaotica","95_Match","sq889",NA
"137","Metazoa","Annelida",NA,"Terebellida","Terebellidae",NA,"Terebellidae_HK04","95_Match","sq997","low"
"138","Metazoa","Bryozoa","Gymnolaemata","Cheilostomatida","Microporellidae","Microporella","Microporella_HK01","95_Match","sq941",NA
"139","Metazoa","Annelida",NA,"Terebellida","Terebellidae",NA,"Terebellidae_HK03","95_Match","sq1013",NA
"140","Metazoa","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Botryllus","Botryllus_HK01","95_Match","sq1015",NA
"141","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Nylanderia",NA,"95_Match","sq1030",NA
"142","Metazoa","Annelida","Polychaeta","Sabellida","Sabellidae","Parasabella",NA,"95_Match","sq1032",NA
"143","Metazoa","Arthropoda","Malacostraca","Amphipoda","Podoceridae","Podocerus","Podocerus_brasiliensis","95_Match","sq974","high"
"144","Metazoa","Porifera","Demospongiae","Poecilosclerida",NA,NA,NA,"95_Match","sq1061",NA
"145","Metazoa","Annelida","Polychaeta","Spionida","Spionidae","Polydora","Polydora_haswelli","95_Match","sq1004",NA
"146","Metazoa","Chordata","Actinopteri","Clupeiformes","Clupeidae","Amblygaster","Amblygaster_clupeoides","95_Match","sq1053",NA
"147","Metazoa","Sipuncula","Phascolosomatidea","Phascolosomatida","Phascolosomatidae","Phascolosoma","Phascolosoma_HK01","95_Match","sq1078",NA
"148","Metazoa","Cnidaria","Hydrozoa","Anthoathecata","Cladonematidae","Cladonema","Cladonema_pacificum","95_Match","sq1020",NA
"149","Metazoa","Arthropoda","Malacostraca","Amphipoda","Maeridae","Maera","Maera_HK01","95_Match","sq1085",NA
"150","Metazoa","Arthropoda","Malacostraca","Decapoda","Alpheidae","Synalpheus","Synalpheus_hastilicrassus_C_KMH-2014","95_Match","sq1086",NA
"151","Metazoa","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Phyllodoce","Phyllodoce_HK02","95_Match","sq1096",NA
"152","Metazoa","Arthropoda","Malacostraca","Decapoda","Porcellanidae",NA,NA,"95_Match","sq1100",NA
"153","Metazoa","Chordata",NA,NA,NA,NA,NA,"95_Match","sq1151","low"
"155","Metazoa","Annelida","Polychaeta","Phyllodocida","Polynoidae",NA,"Polynoidae_HK03","95_Match","sq1082",NA
"156","Metazoa","Mollusca","Gastropoda",NA,"Acmaeidae","Patelloida","Patelloida_pygmaea","95_Match","sq1127",NA
"157","Metazoa","Annelida",NA,"Terebellida","Flabelligeridae",NA,"Flabelligeridae_HK01","95_Match","sq1186",NA
"159","Metazoa","Arthropoda","Malacostraca","Decapoda","Galatheidae","Galathea","Galathea_senta","95_Match","sq1217","low"
"160","Metazoa","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora_tenuis","95_Match","sq1163",NA
"161","Metazoa","Arthropoda","Malacostraca","Decapoda","Alpheidae","Synalpheus","Synalpheus_streptodactylus","95_Match","sq1240","low"
"162","Metazoa","Arthropoda","Malacostraca","Decapoda","Porcellanidae","Petrolisthes","Petrolisthes_boscii","95_Match","sq1263",NA
"163","Metazoa","Arthropoda","Malacostraca","Decapoda","Xanthidae","Chlorodiella","Chlorodiella_nigra","95_Match","sq1271",NA
"164","Metazoa","Annelida",NA,NA,NA,NA,NA,"95_Match","sq1281",NA
"165","Metazoa","Annelida",NA,NA,NA,NA,NA,"95_Match","sq1286",NA
"166","Metazoa","Porifera","Demospongiae","Clionaida","Clionaidae","Cliona","Cliona_chilensis","95_Match","sq1304",NA
"167","Metazoa","Porifera","Demospongiae","Dendroceratida","Darwinellidae","Chelonaplysilla",NA,"95_Match","sq1326",NA
"168","Metazoa","Arthropoda","Malacostraca","Decapoda","Alpheidae","Athanas","Athanas_parvus","95_Match","sq1296",NA
"169","Metazoa","Annelida","Polychaeta","Phyllodocida","Hesionidae","Leocrates","Leocrates_chinensis_HK03","95_Match","sq1325",NA
"170","Metazoa","Arthropoda","Malacostraca","Decapoda","Alpheidae","Athanas","Athanas_dimorphus","95_Match","sq1329",NA
"171","Metazoa","Porifera","Demospongiae","Poecilosclerida","Tedaniidae","Tedania","Tedania_klausi","95_Match","sq1378",NA
"172","Metazoa","Mollusca","Gastropoda","[unassigned]_Caenogastropoda","Cerithiidae","Cerithium","Cerithium_alutaceum","95_Match","sq1393",NA
"173","Metazoa","Echinodermata","Ophiuroidea","Ophiurida","Amphiuridae","Amphipholis","Amphipholis_squamata","95_Match","sq1350",NA
"174","Metazoa","Arthropoda","Malacostraca","Decapoda","Xanthidae","Epiactaea","Epiactaea_bullifera","95_Match","sq1421",NA
"175","Metazoa","Mollusca","Bivalvia","Ostreoida","Ostreidae","Crassostrea","Crassostrea_sikamea","95_Match","sq1431",NA
"176","Metazoa","Cnidaria","Anthozoa","Actiniaria",NA,NA,NA,"95_Match","sq1439",NA
"177","Metazoa","Mollusca","Gastropoda","Neogastropoda","Muricidae","Ergalatax","Ergalatax_contracta","95_Match","sq1450",NA
"178","Metazoa","Mollusca","Gastropoda",NA,"Trochidae","Hybochelus","Hybochelus_cancellatus","95_Match","sq1376",NA
"179","Metazoa","Annelida",NA,"Terebellida","Cirratulidae",NA,"Cirratulidae_HK01","95_Match","sq1456",NA
"180","Metazoa","Porifera","Demospongiae","Haplosclerida","Chalinidae","Haliclona",NA,"95_Match","sq1460",NA
"181","Metazoa","Chordata","Chondrichthyes","Myliobatiformes","Gymnuridae","Gymnura","Gymnura_japonica","95_Match","sq1478",NA
"183","Metazoa","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus_HK01","95_Match","sq1474",NA
"184","Metazoa","Arthropoda","Malacostraca","Decapoda",NA,NA,"Caridea_sp._LPdivOTU175","95_Match","sq1578","low"
"185","Metazoa","Echinodermata","Ophiuroidea",NA,NA,NA,NA,"95_Match","sq1584",NA
"186","Metazoa","Mollusca","Bivalvia",NA,NA,NA,NA,"95_Match","sq1588",NA
"187","Metazoa","Arthropoda","Malacostraca","Decapoda","Alpheidae","Alpheus","Alpheus_edwardsii_HK01","95_Match","sq1594",NA
"188","Metazoa","Annelida","Polychaeta",NA,NA,NA,NA,"95_Match","sq1603",NA
"189","Metazoa","Arthropoda","Malacostraca","Decapoda","Hippolytidae","Lysmata","Lysmata_vittata","95_Match","sq1515",NA
"190","Metazoa","Cnidaria","Hydrozoa","Leptothecata","Malagazziidae","Malagazzia","Malagazzia_carolinae","95_Match","sq1631",NA
"191","Metazoa","Mollusca","Gastropoda","Littorinimorpha","Caecidae","Caecum","Caecum_glabellum","95_Match","sq1572",NA
"192","Metazoa","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Symplegma","Symplegma_rubra","95_Match","sq1641",NA
"193","Metazoa","Arthropoda","Hexanauplia","Sessilia","Archaeobalanidae","Striatobalanus","Striatobalanus_amaryllis","95_Match","sq1546",NA
"194","Metazoa","Porifera","Demospongiae",NA,NA,NA,NA,"95_Match","sq1663",NA
"195","Metazoa","Mollusca","Polyplacophora","Chitonida","Ischnochitonidae","Lepidozona","Lepidozona_coreanica","95_Match","sq1679",NA
"196","Metazoa","Annelida",NA,"Spionida","Spionidae",NA,"Spionidae_HK02","95_Match","sq1680",NA
"197","Metazoa","Arthropoda","Malacostraca","Decapoda","Pilumnidae",NA,"Pilumnidae_HK02","95_Match","sq1653",NA
"198","Metazoa","Porifera","Demospongiae","Haplosclerida","Petrosiidae","Neopetrosia","Neopetrosia_exigua","95_Match","sq1683",NA
"199","Metazoa","Annelida",NA,NA,NA,NA,"Annelida_sp._BOLD:ACQ7539","95_Match","sq1716",NA
"200","Metazoa","Mollusca","Gastropoda","Littorinimorpha","Caecidae","Caecum","Caecum_glabellum","95_Match","sq1738",NA
"201","Metazoa","Arthropoda","Branchiopoda","Diplostraca","Podonidae","Pseudevadne","Pseudevadne_tergestina","95_Match","sq1812",NA
"202","Metazoa","Cnidaria","Anthozoa","Actiniaria",NA,NA,"Actiniaria","95_Match","sq1775",NA
"203","Metazoa","Chordata","Actinopterygii","Perciformes","Gobiidae","Istigobius","Istigobius_campbelli","95_Match","sq1864",NA
"204","Metazoa","Mollusca","Bivalvia","Ostreoida","Ostreidae","Crassostrea",NA,"95_Match","sq1916",NA
"205","Metazoa","Echinodermata","Holothuroidea","Holothuriida","Holothuriidae","Holothuria","Holothuria_insignis","95_Match","sq1922",NA
"206","Metazoa","Chordata","Actinopteri","Perciformes","Serranidae","Cephalopholis","Cephalopholis_boenak","95_Match","sq1933","low"
"207","Metazoa","Entoprocta",NA,NA,"Barentsiidae",NA,"Barentsiidae_HK01","95_Match","sq1872",NA
"208","Metazoa","Porifera","Demospongiae","Poecilosclerida","Microcionidae","Clathria","Clathria_rugosa","95_Match","sq1973",NA
"209","Metazoa","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Clytia","Clytia_sp._JRH-2014","95_Match","sq1950",NA
"210","Metazoa","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurixus","Pagurixus_anceps","95_Match","sq2016","low"
"211","Metazoa","Porifera","Demospongiae","Haplosclerida","Chalinidae","Haliclona",NA,"95_Match","sq2025","low"
"212","Metazoa","Bryozoa","Gymnolaemata","Cheilostomatida","Schizoporellidae","Schizoporella","Schizoporella_pungens","95_Match","sq2042",NA
"213","Metazoa","Chordata","Actinopteri","Siganidae","Siganus",NA,NA,"95_Match","sq2054",NA
"214","Metazoa","Bryozoa","Gymnolaemata","Cheilostomatida","Smittinidae","Parasmittina","Parasmittina_sp._BMOO-07647","95_Match","sq1972",NA
"215","Metazoa","Arthropoda","Hexanauplia","Sessilia",NA,NA,NA,"95_Match","sq2077",NA
"216","Metazoa","Annelida",NA,NA,NA,NA,NA,"95_Match","sq2101",NA
"217","Metazoa","Arthropoda","Malacostraca","Decapoda","Alpheidae","Athanas","Athanas_parvus","95_Match","sq2028",NA
"218","Metazoa","Mollusca","Bivalvia",NA,NA,NA,NA,"95_Match","sq2140","low"
"219","Metazoa","Cnidaria","Hydrozoa","Anthoathecata","Hydractiniidae","Hydractinia","Hydractinia_sp._HG_JRH-2014","95_Match","sq2069",NA
"220","Metazoa","Annelida",NA,"Terebellida","Flabelligeridae",NA,"Flabelligeridae_HK01","95_Match","sq2149",NA
"221","Metazoa","Porifera","Demospongiae","Poecilosclerida","Coelosphaeridae","Lissodendoryx",NA,"95_Match","sq2158",NA
"222","Metazoa","Arthropoda","Hexanauplia","Pygophora","Lithoglyptidae","Kochlorine","Kochlorine_hamata","95_Match","sq2167","low"
"223","Metazoa","Mollusca","Polyplacophora","Chitonida","Chitonidae","Rhyssoplax","Rhyssoplax_burmana","95_Match","sq2194",NA
"224","Metazoa","Cnidaria","Hydrozoa","Leptothecata","Blackfordiidae","Blackfordia","Blackfordia_virginica","95_Match","sq2234",NA
"225","Metazoa","Annelida","Polychaeta","Phyllodocida","Hesionidae","Syllidia","Syllidia_hongkongensis","95_Match","sq2266",NA
"226","Metazoa","Annelida","Polychaeta",NA,NA,NA,NA,"95_Match","sq2287",NA
"227","Metazoa","Annelida","Polychaeta","Spionida","Spionidae","Polydora","Polydora_lingshuiensis","95_Match","sq2300","high"
"228","Metazoa","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Campanularia","Campanularia_hincksii","95_Match","sq2220",NA
